family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18
1,123,25,93,38,56,121,46,36,20,91,75,52,60,,,,,
1,114,127,35,37,89,128,77,15,84,79,11,103,17,31,,,,
1,117,101,54,12,49,87,90,71,5,97,51,9,,,,,,
1,18,1,3,85,106,129,118,32,59,64,2,113,55,6,116,74,30,68
1,112,33,110,29,82,63,96,22,99,109,42,50,34,80,10,86,,
1,104,124,19,78,21,16,,,,,,,,,,,,
1,45,105,43,70,131,102,48,122,65,125,39,57,61,7,,,,
1,98,92,4,41,23,14,81,26,24,44,88,67,,,,,,
1,66,94,69,108,53,120,27,62,28,72,73,132,111,100,,,,
1,119,126,107,115,47,13,58,130,,,,,,,,,,
1,8,76,95,40,83,,,,,,,,,,,,,
