family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21
1,125,118,2,194,165,103,75,29,149,138,130,200,25,84,132,157,117,,,,
1,18,14,109,,,,,,,,,,,,,,,,,,
1,127,10,229,16,182,74,215,178,47,46,,,,,,,,,,,
1,175,51,89,232,233,88,72,54,174,211,228,58,48,169,223,34,,,,,
1,193,162,108,111,105,97,164,101,212,66,201,196,56,96,53,45,21,27,173,,
1,129,238,32,240,126,15,30,1,3,160,121,83,100,,,,,,,,
1,176,222,209,143,35,187,23,95,38,90,190,,,,,,,,,,
1,224,22,150,122,210,203,115,55,81,62,68,161,,,,,,,,,
1,188,42,183,220,197,65,,,,,,,,,,,,,,,
1,110,28,234,199,7,119,85,13,43,189,26,166,198,136,114,17,177,40,36,155,112
1,231,12,225,219,69,140,4,8,171,218,186,195,133,152,235,227,107,104,226,,
1,154,59,146,153,120,94,79,64,11,230,221,37,50,,,,,,,,
1,134,170,99,123,167,147,239,145,168,71,163,185,98,,,,,,,,
1,86,237,116,41,207,76,82,57,142,9,91,19,184,144,236,180,151,80,,,
1,49,156,206,5,204,131,192,6,141,213,,,,,,,,,,,
1,70,102,93,159,179,33,158,67,52,208,,,,,,,,,,,
1,124,44,113,24,20,202,60,87,216,63,,,,,,,,,,,
1,92,78,73,205,181,172,217,139,39,,,,,,,,,,,,
1,61,148,128,191,214,135,106,31,77,,,,,,,,,,,,
1,137,,,,,,,,,,,,,,,,,,,,
