family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20
1,14,2,16,21,272,293,150,111,30,126,161,303,100,173,33,315,241,,,
1,238,3,258,262,32,193,15,48,270,57,243,171,8,4,218,140,68,84,22,200
1,268,167,124,5,130,237,301,116,71,323,253,,,,,,,,,
1,234,199,136,7,233,217,88,72,232,174,127,25,51,223,,,,,,
1,246,134,85,9,264,13,69,166,6,192,213,186,146,144,,,,,,
1,281,204,94,64,60,11,154,44,12,45,104,183,197,23,37,,,,,
1,317,194,165,103,29,18,299,118,40,138,59,248,313,46,132,155,178,,,
1,156,319,309,148,131,113,24,307,92,49,292,137,53,,,,,,,
1,240,295,110,278,28,256,54,211,125,184,177,67,280,169,,,,,,
1,245,58,250,182,297,105,175,96,300,244,206,230,56,198,,,,,,
1,170,79,129,231,321,225,289,271,287,279,308,61,,,,,,,,
1,196,62,304,251,228,224,203,115,265,185,43,145,152,,,,,,,
1,283,310,207,66,190,147,93,266,311,159,119,,,,,,,,,
1,164,195,133,86,260,254,73,70,290,76,149,239,189,123,,,,,,
1,318,98,188,107,222,162,108,257,275,91,220,38,122,153,284,,,,,
1,128,276,78,214,205,255,135,216,82,,,,,,,,,,,
1,259,41,294,47,219,215,10,176,143,,,,,,,,,,,
1,263,286,102,269,226,81,52,274,19,,,,,,,,,,,
1,120,95,252,227,229,27,101,221,212,,,,,,,,,,,
1,322,298,65,35,277,26,,,,,,,,,,,,,,
1,235,99,1,83,160,187,90,121,209,,,,,,,,,,,
1,273,180,236,34,172,168,163,288,50,208,267,74,314,,,,,,,
1,291,285,312,31,158,75,179,142,20,39,202,,,,,,,,,
1,247,55,89,141,305,242,36,112,17,,,,,,,,,,,
1,261,139,42,302,63,296,282,114,80,97,,,,,,,,,,
1,201,77,249,87,106,,,,,,,,,,,,,,,
1,210,191,320,151,306,157,117,,,,,,,,,,,,,
1,109,,,,,,,,,,,,,,,,,,,
1,316,,,,,,,,,,,,,,,,,,,
2,181,,,,,,,,,,,,,,,,,,,
