family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24
1,18,2,395,355,391,293,150,360,364,126,138,303,100,173,313,279,241,35,242,,,,,
1,350,268,125,5,3,382,6,69,343,97,66,81,394,,,,,,,,,,,
1,64,11,9,262,91,193,166,30,57,196,377,232,127,222,368,335,,,,,,,,
1,304,289,271,12,352,76,172,129,256,71,136,145,,,,,,,,,,,,
1,344,354,16,356,250,107,88,72,254,253,211,56,184,82,274,323,104,154,273,338,296,346,400,209
1,282,329,98,20,159,339,311,357,192,49,8,186,218,68,337,,,,,,,,,
1,358,319,309,301,191,24,295,206,155,403,244,45,190,,,,,,,,,,,
1,341,234,156,131,132,28,199,110,267,22,,,,,,,,,,,,,,
1,363,188,32,276,376,401,140,233,75,198,,,,,,,,,,,,,,
1,225,336,96,175,380,406,317,194,165,41,407,174,348,384,362,46,,,,,,,,
1,327,182,130,281,238,44,54,248,331,169,111,177,322,372,367,139,369,239,393,,,,,
1,246,85,48,163,342,229,74,153,93,70,144,183,23,21,340,291,247,38,330,,,,,
1,397,298,251,224,115,59,7,353,94,321,235,387,146,,,,,,,,,,,
1,297,105,162,108,345,103,308,195,86,185,312,43,,,,,,,,,,,,
1,349,402,161,381,287,92,292,142,379,207,58,40,365,,,,,,,,,,,
1,370,189,310,283,333,114,14,214,135,83,205,213,31,,,,,,,,,,,
1,374,245,378,204,266,167,299,118,226,320,315,219,202,,,,,,,,,,,
1,27,4,257,124,116,79,25,67,147,359,227,50,,,,,,,,,,,,
1,265,217,78,60,259,332,290,316,201,,,,,,,,,,,,,,,
1,200,334,197,65,328,,,,,,,,,,,,,,,,,,,
1,302,220,252,37,216,101,255,,,,,,,,,,,,,,,,,
1,128,383,212,284,1,62,210,160,90,373,404,243,,,,,,,,,,,,
1,263,386,102,405,280,143,52,51,33,10,137,,,,,,,,,,,,,
1,366,236,99,55,26,260,270,187,398,277,230,61,73,396,,,,,,,,,,
1,240,17,285,399,286,29,176,294,168,19,149,272,314,151,113,13,,,,,,,,
1,300,47,269,326,84,203,112,,,,,,,,,,,,,,,,,
1,180,261,324,179,158,278,208,305,,,,,,,,,,,,,,,,
1,351,258,264,221,141,361,152,134,148,,,,,,,,,,,,,,,
1,325,123,133,231,15,95,121,371,89,,,,,,,,,,,,,,,
1,389,109,223,392,385,80,122,119,347,,,,,,,,,,,,,,,
1,288,63,170,120,388,181,275,53,,,,,,,,,,,,,,,,
1,249,87,34,106,178,39,390,307,171,237,,,,,,,,,,,,,,
1,77,36,117,,,,,,,,,,,,,,,,,,,,,
1,164,42,157,306,,,,,,,,,,,,,,,,,,,,
1,228,215,375,,,,,,,,,,,,,,,,,,,,,
2,318,,,,,,,,,,,,,,,,,,,,,,,
